ODI;SIGLAS_AREA;ANIO;NRO_EXPEDIENTE;TIPO_EXPEDIENTE;FECHA_PRESENTACION;SECTOR;SUB_SECTOR;DENUNCIADOS;RUC_DENUNCIADOS; 
SEDE CENTRAL;PS3;2015;886;DENUNCIA;3/06/2015;COMERCIO MINORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;LINIO PERÚ S.A.C.;20547836473; 
SEDE CENTRAL;PS3;2015;887;DENUNCIA;3/06/2015;CONSTRUCCION E INMOBILIARIOS;ALQUILER DE INMUEBLES POR ENCARGO;PAZ CENTENARIO S.A.;20518023579; 
SEDE CENTRAL;PS3;2015;888;DENUNCIA;3/06/2015;COMERCIO MINORISTA DE LINEA BLANCA, MARRON Y OTRAS;VENTA DE ARTICULOS DE USO DOMESTICO;TIENDAS EFE S.A.;20141189850; 
SEDE CENTRAL;PS3;2015;889;DENUNCIA;3/06/2015;SERVICIOS PROFESIONALES, TECNICOS Y OTROS;AGENCIA DE EMPLEOS;AGENCIA DE EMPLEOS MI GONZALITO E.I.R.L.;20552433107; 
SEDE CENTRAL;PS3;2015;89;DENUNCIA;21/01/2015;CONSTRUCCION E INMOBILIARIOS;ALQUILER DE INMUEBLES POR ENCARGO;LOS PORTALES S.A.;20301837896; 
SEDE CENTRAL;PS3;2015;890;DENUNCIA;3/06/2015;COMERCIO MAYORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;CASSINELLI S.A. / SANIHOLD S.A.C.;20102974353 / 20514737364; 
SEDE CENTRAL;PS3;2015;891;DENUNCIA;3/06/2015;IMPRESION Y EDICION DE LIBROS, PERIODICOS Y RELACIONADOS;VENTA DE PUBLICIDAD;;; 
SEDE CENTRAL;PS3;2015;892;DENUNCIA;3/06/2015;COMERCIO MAYORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;FCA PERUANA ETERNIT S.A. / SODIMAC PERU S.A.;20100051240 / 20389230724; 
SEDE CENTRAL;PS3;2015;893;DENUNCIA;3/06/2015;COMERCIO MINORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;;; 
SEDE CENTRAL;PS3;2015;894;DENUNCIA;4/06/2015;COMERCIO MINORISTA DE PRODUCTOS FARMACEUTICOS, PERFUMERIA Y AFINES;VENTA DE ARTICULOS COSMETICOS Y DE TOCADOR;PRODUCTOS AVON S A;20100078792; 
SEDE CENTRAL;PS3;2015;895;DENUNCIA;4/06/2015;TRANSPORTE TERRESTRE Y OTROS TIPOS DE TRANSPORTE;ENCOMIENDAS ;EMPRESA DE TRANSPORTES FLORES HNOS S.R.L.;20119407738; 
SEDE CENTRAL;PS3;2015;896;DENUNCIA;4/06/2015;TIENDAS POR  DEPARTAMENTO, BAZARES Y CONEXOS;VENTA DE OTROS PRODUCTOS;TIENDAS POR DEPARTAMENTO RIPLEY S.A.;20337564373; 
SEDE CENTRAL;PS3;2015;897;DENUNCIA;4/06/2015;SERVICIOS VARIOS;SERVICIOS FUNERARIOS;FONDO DE SEPELIO DE LA FAP;20505143150; 
SEDE CENTRAL;PS3;2015;898;DENUNCIA;4/06/2015;CONSTRUCCION E INMOBILIARIOS;ALQUILER DE INMUEBLES POR ENCARGO;PAZ CENTENARIO S.A.;20518023579; 
SEDE CENTRAL;PS3;2015;899;DENUNCIA;4/06/2015;COMERCIO MINORISTA DE LINEA BLANCA, MARRON Y OTRAS;VENTA DE ARTICULOS DE USO DOMESTICO;;; 
SEDE CENTRAL;PS3;2015;9;DENUNCIA;5/01/2015;FABRICACION DE MUEBLES ;FABRICACION MUEBLES;;; 
SEDE CENTRAL;PS3;2015;90;DENUNCIA;20/01/2015;EDUCACION SUPERIOR;SERVICIOS DE ENSEÑANZA;UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.;20211614545; 
SEDE CENTRAL;PS3;2015;900;DENUNCIA;4/06/2015;OTROS TIPOS DE EDUCACION;SERVICIOS DE ENSEÑANZA;MIDUCOM PERU S.A.;20507488987; 
SEDE CENTRAL;PS3;2015;901;DENUNCIA;4/06/2015;SERVICIOS VARIOS;SERVICIOS FUNERARIOS;AGRICOLA LAS LLAMOZAS S.A.;20101976867; 
SEDE CENTRAL;PS3;2015;902;DENUNCIA;5/06/2015;SERVICIOS VARIOS;SERVICIOS FUNERARIOS;AGRICOLA LAS LLAMOZAS S.A.;20101976867; 
SEDE CENTRAL;PS3;2015;903;DENUNCIA;5/06/2015;SUPERMERCADOS, BODEGAS, MINIMARKETS Y SIMILARES;VENTA DE OTROS PRODUCTOS;HIPERMERCADOS TOTTUS S.A. / HIPERMERCADOS TOTTUS S.A.;20508565934 / 20508565934; 
SEDE CENTRAL;PS3;2015;904;DENUNCIA;5/06/2015;TRANSPORTE TERRESTRE Y OTROS TIPOS DE TRANSPORTE;ENCOMIENDAS ;RED VERDE PERU S.A.C.;20506471703; 
SEDE CENTRAL;PS3;2015;905;DENUNCIA;5/06/2015;COMERCIO MAYORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;TECNOLOGIA INTEGRAL TRADING S.A.C;20332962079; 
SEDE CENTRAL;PS3;2015;906;DENUNCIA;5/06/2015;TIENDAS POR  DEPARTAMENTO, BAZARES Y CONEXOS;VENTA DE OTROS PRODUCTOS;TIENDAS POR DEPARTAMENTO RIPLEY S.A.;20337564373; 
SEDE CENTRAL;PS3;2015;907;DENUNCIA;5/06/2015;COMERCIO MINORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;LINIO PERÚ S.A.C.;20547836473; 
SEDE CENTRAL;PS3;2015;908;DENUNCIA;8/06/2015;COMERCIO MINORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;;; 
SEDE CENTRAL;PS3;2015;909;DENUNCIA;8/06/2015;SERVICIOS PROFESIONALES, TECNICOS Y OTROS;ASESORIA EN ARQUITECTURA;;; 
SEDE CENTRAL;PS3;2015;91;DENUNCIA;21/01/2015;SERVICIOS VARIOS;SERVICIOS FUNERARIOS;FUNERARIA FORTALEZA PERUANA E.I.R.L;20492591662; 
SEDE CENTRAL;PS3;2015;910;DENUNCIA;8/06/2015;CONSTRUCCION E INMOBILIARIOS;ALQUILER DE INMUEBLES POR ENCARGO;LOS PORTALES S.A.;20301837896; 
SEDE CENTRAL;PS3;2015;911;DENUNCIA;8/06/2015;VENTA, MANTENIMIENTO Y REPARACION DE VEHICULOS;VENTA DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;ZUAUTO SAC;20547067071; 
SEDE CENTRAL;PS3;2015;912;DENUNCIA;8/06/2015;OTRAS ACTIVIDADES MANUFACTURERAS;FABRICACION DE ARTICULOS ARTESANALES;;; 
SEDE CENTRAL;PS3;2015;913;DENUNCIA;8/06/2015;SERVICIOS DE SALUD HUMANA Y VETERINARIA;HOSPITALIZACION;ASOCIACION PASTORAL DE SERVICIOS MEDICOASISTENCIALES GOOD HOPE DE LA IGLESIA ADVENTISTA DEL SEPTIMO;20337889167; 
SEDE CENTRAL;PS3;2015;914;DENUNCIA;9/06/2015;SERVICIOS VARIOS;OTROS SERVICIOS;CORPORACION TACSA E.I.R.L;20553775885; 
SEDE CENTRAL;PS3;2015;915;DENUNCIA;9/06/2015;SUPERMERCADOS, BODEGAS, MINIMARKETS Y SIMILARES;VENTA DE OTROS PRODUCTOS;EMPRESA MUNICIPAL DE MERCADOS SA;20100164958; 
SEDE CENTRAL;PS3;2015;916;DENUNCIA;9/06/2015;SUPERMERCADOS, BODEGAS, MINIMARKETS Y SIMILARES;VENTA DE OTROS PRODUCTOS;EMPRESA MUNICIPAL DE MERCADOS SA;20100164958; 
SEDE CENTRAL;PS3;2015;917;DENUNCIA;9/06/2015;SUPERMERCADOS, BODEGAS, MINIMARKETS Y SIMILARES;VENTA DE OTROS PRODUCTOS;EMPRESA MUNICIPAL DE MERCADOS SA;20100164958; 
SEDE CENTRAL;PS3;2015;918;DENUNCIA;9/06/2015;SUPERMERCADOS, BODEGAS, MINIMARKETS Y SIMILARES;VENTA DE OTROS PRODUCTOS;EMPRESA MUNICIPAL DE MERCADOS SA;20100164958; 
SEDE CENTRAL;PS3;2015;919;DENUNCIA;9/06/2015;SUPERMERCADOS, BODEGAS, MINIMARKETS Y SIMILARES;VENTA DE OTROS PRODUCTOS;;; 
SEDE CENTRAL;PS3;2015;92;DENUNCIA;21/01/2015;CONSTRUCCION E INMOBILIARIOS;CONSTRUCCION Y VENTA DE INMUEBLES;GRUPO ACUARIO CONTRATISTAS GENERALES S.A.C. / GRUPO ACUARIO INVERSIONES LIMA S.A.C. / CORPORACION FIERRO NEGOCIOS INMOBILIARIOS SOCIEDAD ANONIMA CERRADA;20514016462 / 20553880328 / 20524377251; 
SEDE CENTRAL;PS3;2015;920;DENUNCIA;10/06/2015;RESTAURANTES, BARES Y CANTINAS ;SERVICIO DE ALIMENTACION Y BEBIDA;CINDEL S.A.;20302218774; 
